,Nface,Neyes,Affirm
0,2021-04-17 18:07:54.460962,,
1,2021-04-17 18:07:54.460962,,
2,2021-04-17 18:07:56.509642,,
3,2021-04-17 18:07:59.286528,,
4,2021-04-17 18:08:05.487754,,
5,2021-04-17 18:08:05.487754,,
6,,2021-04-17 18:07:54.821183,
7,,2021-04-17 18:07:54.821183,
8,,2021-04-17 18:07:55.011899,
9,,2021-04-17 18:07:55.012899,
10,,2021-04-17 18:07:55.104905,
11,,2021-04-17 18:07:55.105905,
12,,2021-04-17 18:07:55.301356,
13,,2021-04-17 18:07:55.789187,
14,,2021-04-17 18:07:56.006853,
15,,2021-04-17 18:07:56.129396,
16,,2021-04-17 18:07:56.208757,
17,,2021-04-17 18:07:56.240761,
18,,2021-04-17 18:07:56.332627,
19,,2021-04-17 18:07:56.419636,
20,,2021-04-17 18:07:59.583720,
21,,2021-04-17 18:07:59.584720,
22,,2021-04-17 18:07:59.723731,
23,,2021-04-17 18:07:59.723731,
24,,2021-04-17 18:07:59.866380,
25,,2021-04-17 18:07:59.866380,
26,,2021-04-17 18:08:00.003951,
27,,2021-04-17 18:08:02.633126,
28,,2021-04-17 18:08:02.914348,
29,,2021-04-17 18:08:02.914348,
30,,2021-04-17 18:08:03.040562,
31,,2021-04-17 18:08:03.040562,
32,,2021-04-17 18:08:03.384127,
33,,2021-04-17 18:08:03.432929,
34,,2021-04-17 18:08:03.553937,
35,,2021-04-17 18:08:03.554937,
36,,2021-04-17 18:08:03.783321,
37,,2021-04-17 18:08:03.783321,
38,,,2021-04-17 18:07:54.895896
39,,,2021-04-17 18:07:54.976896
40,,,2021-04-17 18:07:55.054904
41,,,2021-04-17 18:07:55.054904
42,,,2021-04-17 18:07:55.146393
43,,,2021-04-17 18:07:55.260353
44,,,2021-04-17 18:07:55.866843
45,,,2021-04-17 18:07:55.866843
46,,,2021-04-17 18:07:56.162756
47,,,2021-04-17 18:07:56.162756
48,,,2021-04-17 18:07:56.288625
49,,,2021-04-17 18:07:56.288625
50,,,2021-04-17 18:07:56.466638
51,,,2021-04-17 18:07:56.466638
52,,,2021-04-17 18:07:59.328532
53,,,2021-04-17 18:07:59.539355
54,,,2021-04-17 18:07:59.630725
55,,,2021-04-17 18:07:59.678728
56,,,2021-04-17 18:07:59.755734
57,,,2021-04-17 18:07:59.819738
58,,,2021-04-17 18:07:59.912301
59,,,2021-04-17 18:07:59.956629
60,,,2021-04-17 18:08:02.677129
61,,,2021-04-17 18:08:02.867344
62,,,2021-04-17 18:08:02.963351
63,,,2021-04-17 18:08:03.007554
64,,,2021-04-17 18:08:03.089561
65,,,2021-04-17 18:08:03.339115
66,,,2021-04-17 18:08:03.477932
67,,,2021-04-17 18:08:03.519934
68,,,2021-04-17 18:08:03.598940
69,,,2021-04-17 18:08:03.656944
70,,,2021-04-17 18:08:03.820932
71,,,2021-04-17 18:08:05.486754
