,Nface,Neyes,Affirm
0,2021-04-18 15:11:23.833834,,
1,2021-04-18 15:11:23.833834,,
2,2021-04-18 15:11:25.072928,,
3,2021-04-18 15:11:25.136932,,
4,2021-04-18 15:11:28.430622,,
5,2021-04-18 15:11:28.430622,,
6,2021-04-18 15:11:29.119742,,
7,2021-04-18 15:11:30.540795,,
8,2021-04-18 15:11:30.661801,,
9,2021-04-18 15:11:30.661801,,
10,2021-04-18 15:11:31.032746,,
11,2021-04-18 15:11:31.032746,,
12,2021-04-18 15:11:31.235761,,
13,2021-04-18 15:11:31.384704,,
14,2021-04-18 15:11:31.520714,,
15,2021-04-18 15:11:31.662724,,
16,2021-04-18 15:11:32.056605,,
17,2021-04-18 15:11:32.056605,,
18,2021-04-18 15:11:32.302634,,
19,2021-04-18 15:11:32.302634,,
20,2021-04-18 15:11:32.521649,,
21,2021-04-18 15:11:32.521649,,
22,2021-04-18 15:11:32.652659,,
23,2021-04-18 15:11:32.652659,,
24,2021-04-18 15:11:32.814871,,
25,2021-04-18 15:11:32.814871,,
26,2021-04-18 15:11:33.073722,,
27,2021-04-18 15:11:33.073722,,
28,2021-04-18 15:11:33.202733,,
29,2021-04-18 15:11:33.686767,,
30,2021-04-18 15:11:33.813781,,
31,2021-04-18 15:11:34.219810,,
32,2021-04-18 15:11:34.348822,,
33,2021-04-18 15:11:34.348822,,
34,2021-04-18 15:11:34.589675,,
35,2021-04-18 15:11:34.589675,,
36,2021-04-18 15:11:35.167479,,
37,2021-04-18 15:11:36.174555,,
38,2021-04-18 15:11:36.406572,,
39,2021-04-18 15:11:36.498580,,
40,2021-04-18 15:11:36.680594,,
41,2021-04-18 15:11:36.680594,,
42,2021-04-18 15:11:36.781602,,
43,2021-04-18 15:11:36.886609,,
44,2021-04-18 15:11:37.074493,,
45,2021-04-18 15:11:37.074493,,
46,2021-04-18 15:11:37.537529,,
47,2021-04-18 15:11:37.577533,,
48,2021-04-18 15:11:37.757546,,
49,2021-04-18 15:11:37.757546,,
50,2021-04-18 15:11:37.889556,,
51,2021-04-18 15:11:37.988563,,
52,2021-04-18 15:11:38.091570,,
53,2021-04-18 15:11:38.360590,,
54,2021-04-18 15:11:38.566605,,
55,2021-04-18 15:11:38.566605,,
56,2021-04-18 15:11:39.414668,,
57,2021-04-18 15:11:39.480672,,
58,2021-04-18 15:11:39.618682,,
59,2021-04-18 15:11:39.788695,,
60,2021-04-18 15:11:40.479746,,
61,2021-04-18 15:11:40.713763,,
62,,2021-04-18 15:11:23.833834,
63,,2021-04-18 15:11:23.833834,
64,,2021-04-18 15:11:37.501528,
65,,2021-04-18 15:11:37.501528,
66,,2021-04-18 15:11:37.645539,
67,,2021-04-18 15:11:37.716544,
68,,2021-04-18 15:11:37.833552,
69,,2021-04-18 15:11:37.833552,
70,,2021-04-18 15:11:38.052568,
71,,2021-04-18 15:11:38.052568,
72,,2021-04-18 15:11:38.439624,
73,,2021-04-18 15:11:38.524603,
74,,2021-04-18 15:11:38.640613,
75,,2021-04-18 15:11:39.134647,
76,,2021-04-18 15:11:39.284659,
77,,2021-04-18 15:11:39.359665,
78,,2021-04-18 15:11:39.564680,
79,,2021-04-18 15:11:39.564680,
80,,2021-04-18 15:11:39.849699,
81,,2021-04-18 15:11:40.069716,
82,,2021-04-18 15:11:40.713763,
83,,2021-04-18 15:11:40.713763,
84,,,2021-04-18 15:11:23.833834
85,,,2021-04-18 15:11:24.969923
86,,,2021-04-18 15:11:25.223942
87,,,2021-04-18 15:11:28.390680
88,,,2021-04-18 15:11:28.491626
89,,,2021-04-18 15:11:29.076740
90,,,2021-04-18 15:11:30.615798
91,,,2021-04-18 15:11:30.616798
92,,,2021-04-18 15:11:30.730650
93,,,2021-04-18 15:11:30.995744
94,,,2021-04-18 15:11:31.097751
95,,,2021-04-18 15:11:31.182758
96,,,2021-04-18 15:11:31.480711
97,,,2021-04-18 15:11:31.480711
98,,,2021-04-18 15:11:31.722729
99,,,2021-04-18 15:11:32.015601
100,,,2021-04-18 15:11:32.116609
101,,,2021-04-18 15:11:32.260620
102,,,2021-04-18 15:11:32.382641
103,,,2021-04-18 15:11:32.383640
104,,,2021-04-18 15:11:32.606658
105,,,2021-04-18 15:11:32.607664
106,,,2021-04-18 15:11:32.706862
107,,,2021-04-18 15:11:32.769867
108,,,2021-04-18 15:11:32.881876
109,,,2021-04-18 15:11:33.021719
110,,,2021-04-18 15:11:33.147728
111,,,2021-04-18 15:11:33.148728
112,,,2021-04-18 15:11:33.770774
113,,,2021-04-18 15:11:33.770774
114,,,2021-04-18 15:11:34.295816
115,,,2021-04-18 15:11:34.296816
116,,,2021-04-18 15:11:34.425662
117,,,2021-04-18 15:11:34.550671
118,,,2021-04-18 15:11:34.648678
119,,,2021-04-18 15:11:35.129476
120,,,2021-04-18 15:11:36.242560
121,,,2021-04-18 15:11:36.371568
122,,,2021-04-18 15:11:36.559585
123,,,2021-04-18 15:11:36.636592
124,,,2021-04-18 15:11:36.740599
125,,,2021-04-18 15:11:36.740599
126,,,2021-04-18 15:11:36.958484
127,,,2021-04-18 15:11:37.025491
128,,,2021-04-18 15:11:37.171500
129,,,2021-04-18 15:11:37.443523
130,,,2021-04-18 15:11:39.208653
131,,,2021-04-18 15:11:39.209655
132,,,2021-04-18 15:11:40.136722
133,,,2021-04-18 15:11:40.434743
134,,,2021-04-18 15:11:40.713763
135,,,2021-04-18 15:11:40.713763
